50418,50,CTR,10.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
51418,51,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
52418,52,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
53418,53,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
54418,54,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
55418,55,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
56418,56,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
57418,57,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
58418,58,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
59418,59,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
60418,60,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
61418,61,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
62418,62,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
63418,63,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
64418,64,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
65418,65,CTR,7.00,0.0117,0.0000,1.000,418,1,0,1,0,0.329
66418,66,CTR,7.00,0.0105,0.0000,1.000,418,1,0,1,0,0.329
67418,67,CTR,7.00,0.0097,0.0000,1.000,418,1,0,1,0,0.328
68418,68,CTR,7.00,0.0092,0.0000,1.000,418,1,0,1,0,0.328
69418,69,CTR,7.00,0.0088,0.0000,1.000,418,1,0,1,0,0.327
70418,70,CTR,7.00,0.0085,0.0000,1.000,418,1,0,1,0,0.327
71418,71,CTR,7.00,0.0083,0.0000,1.000,418,1,0,1,0,0.327
72418,72,CTR,7.00,0.0081,0.0000,1.000,418,1,0,1,0,0.327
73418,73,CTR,7.00,0.0080,0.0000,1.000,418,1,0,1,0,0.326
74418,74,CTR,7.00,0.0080,0.0000,1.000,418,1,0,1,0,0.326
75418,75,CTR,7.00,0.0079,0.0000,1.000,418,1,0,1,0,0.326
76418,76,CTR,7.00,0.0079,0.0000,1.000,418,1,0,1,0,0.326
77418,77,CTR,7.00,0.0079,0.0000,1.000,418,1,0,1,0,0.326
78418,78,CTR,7.00,0.0079,0.0000,1.000,418,1,0,1,0,0.326
79418,79,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
80418,80,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
81418,81,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
82418,82,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
83418,83,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
84418,84,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
85418,85,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
86418,86,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
87418,87,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
88418,88,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
89418,89,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
90418,90,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
91418,91,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
92418,92,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
93418,93,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
94418,94,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
95418,95,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
96418,96,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
97418,97,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
98418,98,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
99418,99,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
100418,100,CTR,7.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
101418,101,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
102418,102,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
103418,103,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
104418,104,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
105418,105,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
106418,106,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
107418,107,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
108418,108,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
109418,109,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
110418,110,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
111418,111,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
112418,112,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
113418,113,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
114418,114,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
115418,115,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
116418,116,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
117418,117,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
118418,118,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
119418,119,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
120418,120,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
121418,121,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
122418,122,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
123418,123,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
124418,124,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
125418,125,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
126418,126,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
127418,127,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
128418,128,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
129418,129,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
130418,130,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
131418,131,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
132418,132,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
133418,133,CTR,5.00,0.0078,0.0000,1.000,418,1,0,1,0,0.326
134418,134,CTR,5.00,0.0066,0.0000,1.000,418,1,0,1,0,0.326
135418,135,CTR,5.00,0.0058,0.0000,1.000,418,1,0,1,0,0.325
136418,136,CTR,5.00,0.0052,0.0000,1.000,418,1,0,1,0,0.325
137418,137,CTR,5.00,0.0048,0.0000,1.000,418,1,0,1,0,0.324
138418,138,CTR,5.00,0.0046,0.0000,1.000,418,1,0,1,0,0.324
139418,139,CTR,5.00,0.0044,0.0000,1.000,418,1,0,1,0,0.324
140418,140,CTR,5.00,0.0042,0.0000,1.000,418,1,0,1,0,0.323
141418,141,CTR,5.00,0.0041,0.0000,1.000,418,1,0,1,0,0.323
142418,142,CTR,5.00,0.0041,0.0000,1.000,418,1,0,1,0,0.323
143418,143,CTR,5.00,0.0040,0.0000,1.000,418,1,0,1,0,0.323
144418,144,CTR,5.00,0.0040,0.0000,1.000,418,1,0,1,0,0.323
145418,145,CTR,5.00,0.0040,0.0000,1.000,418,1,0,1,0,0.323
146418,146,CTR,5.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
147418,147,CTR,5.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
148418,148,CTR,5.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
149418,149,CTR,5.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
150418,150,CTR,5.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
151418,151,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
152418,152,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
153418,153,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
154418,154,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
155418,155,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
156418,156,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
157418,157,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
158418,158,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
159418,159,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
160418,160,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
161418,161,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
162418,162,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
163418,163,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
164418,164,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
165418,165,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
166418,166,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
167418,167,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
168418,168,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
169418,169,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
170418,170,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
171418,171,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
172418,172,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
173418,173,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
174418,174,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
175418,175,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
176418,176,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
177418,177,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
178418,178,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
179418,179,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
180418,180,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
181418,181,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
182418,182,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
183418,183,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
184418,184,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
185418,185,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
186418,186,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
187418,187,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
188418,188,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
189418,189,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
190418,190,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
191418,191,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
192418,192,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
193418,193,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
194418,194,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
195418,195,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
196418,196,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
197418,197,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
198418,198,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
199418,199,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
200418,200,CTR,3.00,0.0039,0.0000,1.000,418,1,0,1,0,0.323
