timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch,cost,cal_cost
87418,87,GCM,10.01,0,0,70.73170732,418,1,0,1,0,0.32,0.449512
88418,88,GCM,10.01,0,0,70.34146341,418,1,0,1,0,0.32,0.450439
89418,89,GCM,10.01,0,0,69.95121951,418,1,0,1,0,0.32,0.451366
90418,90,GCM,9.4,0,0,69.56097561,418,1,0,1,0,0.32,0.452293
91418,91,GCM,8.08,0,0,69.17073171,418,1,0,1,0,0.32,0.45322
92418,92,GCM,6.86,0,0,68.7804878,418,1,0,1,0,0.32,0.454146
93418,93,CTR,3.9,0,0,68.3902439,418,1,0,1,0,0.32,0.38322
94418,94,CBC,0.63,0,0,68,418,1,0,1,0,0.32,0.48
95418,95,CBC,-1.66,0,0,67.6097561,418,1,0,1,0,0.32,0.480976
96418,96,CBC,-0.86,0,0,67.2195122,418,1,0,1,0,0.32,0.481951
97418,97,CBC,0,0,0,66.82926829,418,1,0,1,0,0.32,0.482927
98418,98,CBC,0,0,0,66.43902439,418,1,0,1,0,0.32,0.483902
99418,99,CBC,0,0,0,66.04878049,418,1,0,1,0,0.32,0.484878
100418,100,CBC,0,0,0,65.65853659,418,1,0,1,0,0.32,0.485854
101418,101,CBC,0,0,0,65.26829268,418,1,0,1,0,0.32,0.486829
102418,102,CBC,0,0,0,64.87804878,418,1,0,1,0,0.32,0.487805
103418,103,CBC,0,0,0,64.48780488,418,1,0,1,0,0.32,0.48878
104418,104,CBC,0,0,0,64.09756098,418,1,0,1,0,0.32,0.489756
105418,105,CBC,0,0,0,63.70731707,418,1,0,1,0,0.32,0.490732
106418,106,CBC,0,0,0,63.31707317,418,1,0,1,0,0.32,0.491707
107418,107,CBC,0,0,0,62.92682927,418,1,0,1,0,0.32,0.492683
108418,108,CBC,0,0,0,62.53658537,418,1,0,1,0,0.32,0.493659
109418,109,CBC,0,0,0,62.14634146,418,1,0,1,0,0.32,0.494634
110418,110,CBC,0,0,0,61.75609756,418,1,0,1,0,0.32,0.49561
111418,111,CBC,0.3,0,0,61.36585366,418,1,0,1,0,0.32,0.496585
112418,112,CBC,1.71,0,0,60.97560976,418,1,0,1,0,0.32,0.497561
113418,113,CBC,2.1,0,0,60.58536585,418,1,0,1,0,0.32,0.498537
114418,114,CBC,2.07,0,0,60.19512195,418,1,0,1,0,0.32,0.499512
115418,115,CBC,2.35,0,0,59.80487805,418,1,0,1,0,0.32,0.500488
116418,116,CBC,2.84,0,0,59.41463415,418,1,0,1,0,0.32,0.501463
117418,117,CBC,3.19,0,0,59.02439024,418,1,0,1,0,0.32,0.502439
118418,118,CBC,3.43,0,0,58.63414634,418,1,0,1,0,0.32,0.503415
119418,119,CTR,3.9,0,0,58.24390244,418,1,0,1,0,0.32,0.403512
120418,120,CTR,4.23,0,0,57.85365854,418,1,0,1,0,0.32,0.404293
121418,121,CTR,4.76,0,0,57.46341463,418,1,0,1,0,0.32,0.405073
